customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No internet service,Two year,No,Credit card,61.38,982.08,Yes
CUST-00001,Female,0,No,Yes,57,Yes,No,Fiber optic,No internet service,No,Two year,Yes,Mailed check,95.4,5437.8,Yes
CUST-00002,Male,0,Yes,Yes,57,Yes,Yes,DSL,No,No,One year,No,Bank transfer,111.52,6407.42,Yes
CUST-00003,Male,1,Yes,No,56,No,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer,84.58,4736.48,Yes
CUST-00004,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,Two year,Yes,Bank transfer,56.33,398.55,No
CUST-00005,Female,0,No,No,38,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer,81.19,3085.22,No
CUST-00006,Male,1,Yes,No,57,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,54.75,3120.75,No
CUST-00007,Male,0,Yes,No,55,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,75.87,4172.85,No
CUST-00008,Male,1,No,Yes,14,Yes,No,DSL,No,No,One year,No,Electronic check,62.08,869.12,No
CUST-00009,Female,1,No,No,43,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,33.29,1431.47,Yes
CUST-00010,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No internet service,Two year,No,Mailed check,97.57,1171.98,Yes
CUST-00011,Male,1,No,No,7,Yes,No,Fiber optic,Yes,No,One year,Yes,Bank transfer,68.63,480.41,No
CUST-00012,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,37.39,1533.0,No
CUST-00013,Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,108.97,3727.58,No
CUST-00014,Female,0,No,No,45,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,105.03,4726.35,No
CUST-00015,Male,1,No,No,28,No,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Credit card,75.0,2123.03,Yes
CUST-00016,Female,0,Yes,No,15,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,116.97,1768.99,No
CUST-00017,Female,0,Yes,No,4,No,No,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,112.57,466.99,Yes
CUST-00018,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,109.49,462.42,Yes
CUST-00019,Male,0,Yes,No,29,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card,31.6,916.4,No
CUST-00020,Female,0,Yes,Yes,49,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Electronic check,48.05,2354.45,Yes
CUST-00021,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,59.84,239.36,Yes
CUST-00022,Female,0,No,No,12,No,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,102.85,1304.2,Yes
CUST-00023,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,106.87,5175.74,Yes
CUST-00024,Female,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,Two year,No,Mailed check,94.65,4637.85,No
CUST-00025,Female,0,No,No,13,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,66.18,889.11,No
